Number,Birdseye,Camera
1,"(1979, 920)","(676, 829)"
2,"(2013, 894)","(543, 837)"
3,"(1993, 941)","(699, 778)"
4,"(1922, 944)","(859, 851)"
5,"(2049, 898)","(469, 797)"
6,"(2082, 872)","(342, 797)"
7,"(2016, 875)","(476, 887)"
8,"(1574, 1372)","(1520, 581)"
9,"(1561, 1463)","(1511, 543)"
10,"(1469, 1429)","(1604, 522)"
11,"(1483, 1338)","(1622, 559)"
12,"(2358, 961)","(228, 464)"
13,"(2371, 981)","(253, 447)"
14,"(2313, 978)","(301, 481)"
15,"(2287, 987)","(343, 487)"
16,"(2303, 1007)","(362, 468)"
17,"(2247, 1002)","(415, 501)"
18,"(2057, 1050)","(760, 583)"
19,"(2071, 1055)","(742, 572)"
20,"(2145, 1050)","(627, 533)"
21,"(2102, 1024)","(648, 578)"
22,"(2092, 1016)","(647, 593)"
23,"(2149, 1396)","(939, 386)"
24,"(2114, 1374)","(959, 403)"
25,"(2142, 1345)","(914, 401)"
26,"(2169, 1320)","(871, 399)"
27,"(2137, 1295)","(889, 417)"
28,"(2109, 1321)","(936, 418)"
29,"(2075, 1300)","(957, 437)"
30,"(2102, 1272)","(908, 436)"
31,"(2097, 1225)","(881, 457)"
32,"(2125, 1199)","(829, 457)"
33,"(2064, 1202)","(905, 482)"
34,"(2092, 1177)","(848, 480)"
35,"(2067, 1250)","(933, 461)"
36,"(1990, 1337)","(1067, 458)"
37,"(1814, 996)","(1170, 859)"
38,"(1833, 981)","(1119, 872)"
39,"(1786, 977)","(1228, 923)"
40,"(1729, 1022)","(1362, 878)"
41,"(1701, 1002)","(1422, 938)"
42,"(1775, 945)","(1240, 1016)"
43,"(1586, 1008)","(1640, 993)"
44,"(1615, 986)","(1601, 1028)"
45,"(1588, 969)","(1659, 1085)"
46,"(1559, 991)","(1701, 1043)"
47,"(1671, 984)","(1486, 1002)"
48,"(1756, 1042)","(1308, 826)"
49,"(1786, 1062)","(1250, 771)"
50,"(1701, 1045)","(1421, 858)"
51,"(1466, 1693)","(1535, 505)"
52,"(1513, 1693)","(1502, 493)"
53,"(1568, 1652)","(1474, 493)"
54,"(1662, 1692)","(1400, 456)"
55,"(1759, 1644)","(1329, 440)"
56,"(2491, 1719)","(852, 277)"
57,"(2395, 1718)","(898, 290)"
58,"(2380, 1590)","(851, 304)"
59,"(2427, 1590)","(821, 296)"
60,"(2406, 1432)","(746, 315)"
